object_name,object_id,norad_id,object_type,ops_status,owner,launch_date,launch_site,decay_date,period_minutes,inclination_degrees,apogee_km,perigee_km,rcs,data_status,orbit_center,orbit_type,orbit_class,users,purpose,source,category
DELTA 1 DEB,1976-077CU,10866,DEB,,US,1976-07-29,AFWTR,,117.01,102.71,1665.0,1428.0,0.0995,,EA,ORB,LEO,,,left_only,Debris
DELTA 1 DEB,1976-077CV,10867,DEB,,US,1976-07-29,AFWTR,,110.98,101.82,1584.0,960.0,0.0747,,EA,ORB,LEO,,,left_only,Debris
DELTA 1 DEB,1976-077CW,10868,DEB,,US,1976-07-29,AFWTR,,116.18,102.42,1591.0,1427.0,0.0862,,EA,ORB,LEO,,,left_only,Debris
DELTA 1 DEB,1976-077CX,10869,DEB,,US,1976-07-29,AFWTR,,115.81,102.25,1513.0,1471.0,0.0685,,EA,ORB,LEO,,,left_only,Debris
DELTA 1 DEB,1976-077CY,10870,DEB,,US,1976-07-29,AFWTR,,115.31,101.72,1477.0,1462.0,0.0436,,EA,ORB,LEO,,,left_only,Debris
DELTA 1 DEB,1976-077CZ,10871,DEB,,US,1976-07-29,AFWTR,,116.36,101.87,1733.0,1301.0,0.0891,,EA,ORB,LEO,,,left_only,Debris
DELTA 1 DEB,1976-077DA,10872,DEB,,US,1976-07-29,AFWTR,,117.35,101.48,1641.0,1482.0,0.0658,,EA,ORB,LEO,,,left_only,Debris
DELTA 1 DEB,1976-077DB,10873,DEB,,US,1976-07-29,AFWTR,,118.63,102.19,1731.0,1507.0,0.1053,,EA,ORB,LEO,,,left_only,Debris
DELTA 1 DEB,1976-077DC,10874,DEB,,US,1976-07-29,AFWTR,,109.38,102.02,1267.0,1128.0,0.0156,,EA,ORB,LEO,,,left_only,Debris
DELTA 1 DEB,1976-077DD,10875,DEB,,US,1976-07-29,AFWTR,,115.47,101.96,1502.0,1451.0,0.0335,,EA,ORB,LEO,,,left_only,Debris
DELTA 1 DEB,1976-077DE,10876,DEB,,US,1976-07-29,AFWTR,,115.31,102.62,1549.0,1390.0,0.0423,,EA,ORB,LEO,,,left_only,Debris
COSMOS 970 DEB,1977-121Y,10877,DEB,,CIS,1977-12-21,TYMSC,,104.64,65.77,1080.0,875.0,0.2943,,EA,ORB,LEO,,,left_only,Debris
COSMOS 970 DEB,1977-121Z,10878,DEB,,CIS,1977-12-21,TYMSC,,105.48,65.84,1108.0,926.0,0.053,,EA,ORB,LEO,,,left_only,Debris
COSMOS 970 DEB,1977-121AA,10879,DEB,,CIS,1977-12-21,TYMSC,,104.58,65.83,1067.0,882.0,0.051,,EA,ORB,LEO,,,left_only,Debris
COSMOS 970 DEB,1977-121AB,10880,DEB,,CIS,1977-12-21,TYMSC,,105.41,65.84,1101.0,926.0,0.0179,,EA,ORB,LEO,,,left_only,Debris
COSMOS 970 DEB,1977-121AC,10881,DEB,,CIS,1977-12-21,TYMSC,,105.15,65.84,1104.0,899.0,0.0948,,EA,ORB,LEO,,,left_only,Debris
COSMOS 970 DEB,1977-121AD,10882,DEB,,CIS,1977-12-21,TYMSC,,104.55,65.82,1074.0,872.0,0.0458,,EA,ORB,LEO,,,left_only,Debris
COSMOS 970 DEB,1977-121AE,10883,DEB,,CIS,1977-12-21,TYMSC,,104.65,65.84,1066.0,891.0,0.0151,,EA,ORB,LEO,,,left_only,Debris
COSMOS 970 DEB,1977-121AF,10884,DEB,,CIS,1977-12-21,TYMSC,,104.5,66.39,1114.0,828.0,0.1242,,EA,ORB,LEO,,,left_only,Debris
COSMOS 970 DEB,1977-121AG,10885,DEB,,CIS,1977-12-21,TYMSC,,105.1,65.79,1039.0,959.0,0.0094,,EA,ORB,LEO,,,left_only,Debris
COSMOS 970 DEB,1977-121AH,10886,DEB,,CIS,1977-12-21,TYMSC,,104.82,65.84,1068.0,904.0,0.0129,,EA,ORB,LEO,,,left_only,Debris
COSMOS 970 DEB,1977-121AJ,10887,DEB,,CIS,1977-12-21,TYMSC,,104.07,65.74,1060.0,842.0,0.0157,,EA,ORB,LEO,,,left_only,Debris
COSMOS 970 DEB,1977-121AK,10888,DEB,,CIS,1977-12-21,TYMSC,,105.69,65.51,1120.0,934.0,0.0148,,EA,ORB,LEO,,,left_only,Debris
COSMOS 970 DEB,1977-121AL,10889,DEB,,CIS,1977-12-21,TYMSC,,104.61,65.83,1076.0,876.0,0.0116,,EA,ORB,LEO,,,left_only,Debris
COSMOS 970 DEB,1977-121AM,10890,DEB,,CIS,1977-12-21,TYMSC,,105.01,65.78,1087.0,903.0,0.0401,,EA,ORB,LEO,,,left_only,Debris
NAVSTAR 2 (OPS 5112),1978-047A,10893,PAY,-,US,1978-05-13,AFWTR,,714.19,62.77,21522.0,18656.0,0.5012,,EA,ORB,MEO,,,left_only,Inactive Satellite
ATLAS F R/B,1978-047B,10894,R/B,,US,1978-05-13,AFWTR,,285.97,63.91,15437.0,564.0,2.0188,,EA,ORB,MEO,,,left_only,Rocket Body
ATLAS CENTAUR R/B,1978-051B,10912,R/B,,US,1978-05-20,AFETR,,,,,,,NEA,SU,ORB,Unknown,,,left_only,Rocket Body
COSMOS 1011,1978-053A,10917,PAY,,CIS,1978-05-23,PLMSC,,104.69,82.92,1007.0,952.0,2.0622,,EA,ORB,LEO,,,left_only,Inactive Satellite
SL-8 R/B,1978-053B,10918,R/B,,CIS,1978-05-23,PLMSC,,104.53,82.92,994.0,951.0,4.6501,,EA,ORB,LEO,,,left_only,Rocket Body
MOLNIYA 1-40,1978-055A,10925,PAY,,CIS,1978-06-02,PLMSC,,718.17,63.96,38359.0,2015.0,14.9622,,EA,ORB,MEO,,,left_only,Inactive Satellite
COSMOS 1013,1978-056A,10930,PAY,,CIS,1978-06-07,PLMSC,,116.33,74.03,1555.0,1477.0,0.6825,,EA,ORB,LEO,,,left_only,Inactive Satellite
COSMOS 1014,1978-056B,10931,PAY,,CIS,1978-06-07,PLMSC,,116.08,74.02,1530.0,1479.0,0.6787,,EA,ORB,LEO,,,left_only,Inactive Satellite
COSMOS 1015,1978-056C,10932,PAY,,CIS,1978-06-07,PLMSC,,115.87,74.03,1516.0,1473.0,0.6807,,EA,ORB,LEO,,,left_only,Inactive Satellite
COSMOS 1016,1978-056D,10933,PAY,,CIS,1978-06-07,PLMSC,,115.63,74.03,1498.0,1470.0,0.6874,,EA,ORB,LEO,,,left_only,Inactive Satellite
COSMOS 1017,1978-056E,10934,PAY,,CIS,1978-06-07,PLMSC,,115.42,74.03,1491.0,1458.0,0.6972,,EA,ORB,LEO,,,left_only,Inactive Satellite
COSMOS 1018,1978-056F,10935,PAY,,CIS,1978-06-07,PLMSC,,115.21,74.02,1488.0,1441.0,0.7029,,EA,ORB,LEO,,,left_only,Inactive Satellite
COSMOS 1019,1978-056G,10936,PAY,,CIS,1978-06-07,PLMSC,,115.0,74.03,1488.0,1423.0,0.6667,,EA,ORB,LEO,,,left_only,Inactive Satellite
COSMOS 1020,1978-056H,10937,PAY,,CIS,1978-06-07,PLMSC,,114.78,74.03,1483.0,1408.0,0.6641,,EA,ORB,LEO,,,left_only,Inactive Satellite
SL-8 R/B,1978-056J,10938,R/B,,CIS,1978-06-07,PLMSC,,117.88,74.02,1692.0,1480.0,5.7557,,EA,ORB,LEO,,,left_only,Rocket Body
OPS 9454,1978-058A,10941,PAY,,US,1978-06-10,AFETR,,,,,,,NEA,EA,ORB,Unknown,,,left_only,Inactive Satellite
TITAN 3C TRANSTAGE R/B,1978-058B,10942,R/B,,US,1978-06-10,AFETR,,1445.44,10.07,42005.0,29934.0,,,EA,ORB,GEO,,,left_only,Rocket Body
SL-6 R/B(2),1978-055E,10949,R/B,,CIS,1978-06-02,PLMSC,,730.67,63.92,39519.0,1470.0,7.3818,,EA,ORB,MEO,,,left_only,Rocket Body
GOES 3,1978-062A,10953,PAY,-,US,1978-06-16,AFETR,,1449.21,7.26,36057.0,36029.0,3.0518,,EA,ORB,GEO,,,left_only,Inactive Satellite
DELTA 1 R/B(1),1978-062B,10954,R/B,,US,1978-06-16,AFETR,,106.35,28.43,1567.0,548.0,8.6409,,EA,ORB,LEO,,,left_only,Rocket Body
COSMOS 1023,1978-063A,10961,PAY,,CIS,1978-06-21,PLMSC,,100.17,74.08,779.0,755.0,2.742,,EA,ORB,LEO,,,left_only,Inactive Satellite
SL-8 R/B,1978-063B,10962,R/B,,CIS,1978-06-21,PLMSC,,99.81,74.08,767.0,732.0,4.2286,,EA,ORB,LEO,,,left_only,Rocket Body
SEASAT 1,1978-064A,10967,PAY,-,US,1978-06-27,AFWTR,,99.58,108.02,739.0,738.0,9.412,,EA,ORB,LEO,,,left_only,Inactive Satellite
SL-14 R/B,1978-067B,10974,R/B,,CIS,1978-06-28,PLMSC,,96.65,82.48,610.0,586.0,4.122,,EA,ORB,LEO,,,left_only,Rocket Body
COMSTAR 3,1978-068A,10975,PAY,,US,1978-06-29,AFETR,,1451.64,9.8,36197.0,35984.0,4.0597,,EA,ORB,GEO,,,left_only,Inactive Satellite
ATLAS CENTAUR R/B,1978-068B,10976,R/B,,US,1978-06-29,AFETR,,647.44,21.24,36174.0,651.0,15.4251,,EA,ORB,MEO,,,left_only,Rocket Body
GEOS-2,1978-071A,10981,PAY,-,ESA,1978-07-14,AFETR,,1448.97,5.96,36066.0,36010.0,1.9992,,EA,ORB,GEO,,,left_only,Inactive Satellite
RADUGA 4,1978-073A,10987,PAY,-,CIS,1978-07-18,TYMSC,,1436.02,5.18,35836.0,35735.0,1.0,,EA,ORB,GEO,,,left_only,Inactive Satellite
THORAD DELTA 1 DEB,1974-089EK,10990,DEB,,US,1974-11-15,AFWTR,,113.83,101.05,1460.0,1344.0,0.079,,EA,ORB,LEO,,,left_only,Debris
COSMOS 1027,1978-074A,10991,PAY,,CIS,1978-07-27,PLMSC,,104.6,82.94,996.0,955.0,1.6896,,EA,ORB,LEO,,,left_only,Inactive Satellite
SL-8 R/B,1978-074B,10992,R/B,,CIS,1978-07-27,PLMSC,,104.48,82.93,984.0,956.0,4.5636,,EA,ORB,LEO,,,left_only,Rocket Body
ATLAS CENTAUR R/B(2),1978-078C,11003,R/B,,US,1978-08-08,AFETR,,,,,,,NEA,SU,ORB,Unknown,,,left_only,Rocket Body
ISEE-3 (ICE),1978-079A,11004,PAY,P,US,1978-08-12,AFETR,,,,,,,NEA,SU,ORB,Unknown,,,left_only,Inactive Satellite
DELTA 1 R/B(2),1978-079C,11006,R/B,,US,1978-08-12,AFETR,,,,,,17.6764,NEA,EA,ORB,Unknown,,,left_only,Rocket Body
VENERA 11 BUS,1978-084A,11020,PAY,,CIS,1978-09-09,TYMSC,,,,,,,NEA,SU,ORB,Unknown,,,left_only,Inactive Satellite
VENERA 12 BUS,1978-086A,11025,PAY,,CIS,1978-09-14,TYMSC,,,,,,,NEA,SU,ORB,Unknown,,,left_only,Inactive Satellite
M-3H R/B,1978-087B,11028,R/B,,JPN,1978-09-16,KSCUT,,194.42,31.26,9220.0,258.0,0.7042,,EA,ORB,MEO,,,left_only,Rocket Body
COSMOS 1034,1978-091A,11042,PAY,,CIS,1978-10-04,PLMSC,,114.91,74.04,1481.0,1421.0,0.6827,,EA,ORB,LEO,,,left_only,Inactive Satellite
COSMOS 1035,1978-091B,11044,PAY,,CIS,1978-10-04,PLMSC,,114.68,74.04,1479.0,1403.0,0.6871,,EA,ORB,LEO,,,left_only,Inactive Satellite
COSMOS 1036,1978-091C,11045,PAY,,CIS,1978-10-04,PLMSC,,115.12,74.03,1480.0,1442.0,0.676,,EA,ORB,LEO,,,left_only,Inactive Satellite
COSMOS 1037,1978-091D,11046,PAY,,CIS,1978-10-04,PLMSC,,115.35,74.03,1481.0,1461.0,0.6924,,EA,ORB,LEO,,,left_only,Inactive Satellite
COSMOS 1038,1978-091E,11047,PAY,,CIS,1978-10-04,PLMSC,,115.58,74.04,1486.0,1477.0,0.6757,,EA,ORB,LEO,,,left_only,Inactive Satellite
COSMOS 1039,1978-091F,11048,PAY,,CIS,1978-10-04,PLMSC,,116.31,74.04,1551.0,1479.0,0.6892,,EA,ORB,LEO,,,left_only,Inactive Satellite
COSMOS 1040,1978-091G,11049,PAY,,CIS,1978-10-04,PLMSC,,116.05,74.03,1527.0,1479.0,0.684,,EA,ORB,LEO,,,left_only,Inactive Satellite
COSMOS 1041,1978-091H,11050,PAY,,CIS,1978-10-04,PLMSC,,115.82,74.04,1508.0,1477.0,0.6845,,EA,ORB,LEO,,,left_only,Inactive Satellite
SL-8 R/B,1978-091J,11051,R/B,,CIS,1978-10-04,PLMSC,,117.99,74.04,1699.0,1482.0,5.454,,EA,ORB,LEO,,,left_only,Rocket Body
NAVSTAR 3 (OPS 5113),1978-093A,11054,PAY,-,US,1978-10-07,AFWTR,,744.17,63.05,21098.0,20551.0,0.5283,,EA,ORB,MEO,,,left_only,Inactive Satellite
MOLNIYA 3-10,1978-095A,11057,PAY,,CIS,1978-10-13,PLMSC,,351.29,63.7,19322.0,906.0,13.5756,,EA,ORB,MEO,,,left_only,Inactive Satellite
TIROS N,1978-096A,11060,PAY,-,US,1978-10-13,AFWTR,,101.46,98.47,835.0,821.0,4.08,,EA,ORB,LEO,,,left_only,Inactive Satellite
SL-6 R/B(2),1978-083D,11076,R/B,,CIS,1978-09-06,PLMSC,,723.3,65.64,38300.0,2327.0,5.4865,,EA,ORB,MEO,,,left_only,Rocket Body
SL-6 R/B(2),1978-095E,11079,R/B,,CIS,1978-10-13,PLMSC,,644.01,64.0,35776.0,874.0,6.9306,,EA,ORB,MEO,,,left_only,Rocket Body
NIMBUS 7,1978-098A,11080,PAY,-,US,1978-10-24,AFWTR,,104.01,99.49,954.0,942.0,3.1472,,EA,ORB,LEO,,,left_only,Inactive Satellite
CAMEO & DELTA 1 R/B,1978-098B,11081,PAY,,US,1978-10-24,AFWTR,,103.89,99.41,963.0,922.0,8.298,,EA,ORB,LEO,,,left_only,Inactive Satellite
COSMOS 1045,1978-100A,11084,PAY,,CIS,1978-10-26,PLMSC,,120.32,82.55,1705.0,1686.0,4.1329,,EA,ORB,LEO,,,left_only,Inactive Satellite
RADIO 1 (RS-1),1978-100B,11085,PAY,,CIS,1978-10-26,PLMSC,,120.34,82.55,1706.0,1686.0,0.4363,,EA,ORB,LEO,,,left_only,Inactive Satellite
RADIO 2 (RS-2),1978-100C,11086,PAY,-,CIS,1978-10-26,PLMSC,,120.33,82.55,1705.0,1686.0,0.3378,,EA,ORB,LEO,,,left_only,Inactive Satellite
SL-14 R/B,1978-100D,11087,R/B,,CIS,1978-10-26,PLMSC,,120.3,82.55,1701.0,1687.0,5.0188,,EA,ORB,LEO,,,left_only,Rocket Body
COSMOS 1048,1978-105A,11111,PAY,,CIS,1978-11-16,PLMSC,,100.33,74.03,785.0,763.0,2.1281,,EA,ORB,LEO,,,left_only,Inactive Satellite
SL-8 R/B,1978-105B,11112,R/B,,CIS,1978-11-16,PLMSC,,100.09,74.03,787.0,738.0,4.387,,EA,ORB,LEO,,,left_only,Rocket Body
SL-8 DEB,1978-105C,11113,DEB,,CIS,1978-11-16,PLMSC,,96.84,74.02,614.0,601.0,0.0181,,EA,ORB,LEO,,,left_only,Debris
SL-8 DEB,1978-105D,11114,DEB,,CIS,1978-11-16,PLMSC,,95.3,74.0,537.0,529.0,0.0165,,EA,ORB,LEO,,,left_only,Debris
NATO 3C,1978-106A,11115,PAY,,NATO,1978-11-19,AFETR,,1462.22,9.42,36327.0,36266.0,7.0579,,EA,ORB,High Elliptical / Deep,,,left_only,Inactive Satellite
COSMOS 1051,1978-109A,11128,PAY,,CIS,1978-12-05,PLMSC,,114.65,74.02,1486.0,1393.0,0.6788,,EA,ORB,LEO,,,left_only,Inactive Satellite
COSMOS 1052,1978-109B,11129,PAY,,CIS,1978-12-05,PLMSC,,114.86,74.02,1487.0,1411.0,0.6824,,EA,ORB,LEO,,,left_only,Inactive Satellite
COSMOS 1053,1978-109C,11130,PAY,,CIS,1978-12-05,PLMSC,,115.06,74.02,1487.0,1430.0,0.6761,,EA,ORB,LEO,,,left_only,Inactive Satellite
COSMOS 1054,1978-109D,11131,PAY,,CIS,1978-12-05,PLMSC,,115.26,74.01,1489.0,1445.0,0.6618,,EA,ORB,LEO,,,left_only,Inactive Satellite
COSMOS 1055,1978-109E,11132,PAY,,CIS,1978-12-05,PLMSC,,115.48,74.02,1490.0,1464.0,0.6973,,EA,ORB,LEO,,,left_only,Inactive Satellite
COSMOS 1056,1978-109F,11133,PAY,,CIS,1978-12-05,PLMSC,,115.71,74.02,1503.0,1472.0,0.684,,EA,ORB,LEO,,,left_only,Inactive Satellite
COSMOS 1057,1978-109G,11134,PAY,,CIS,1978-12-05,PLMSC,,115.93,74.02,1515.0,1480.0,0.6867,,EA,ORB,LEO,,,left_only,Inactive Satellite
COSMOS 1058,1978-109H,11135,PAY,,CIS,1978-12-05,PLMSC,,116.18,74.01,1537.0,1480.0,0.6908,,EA,ORB,LEO,,,left_only,Inactive Satellite
SL-8 R/B,1978-109J,11136,R/B,,CIS,1978-12-05,PLMSC,,118.11,74.02,1700.0,1492.0,5.8535,,EA,ORB,LEO,,,left_only,Rocket Body
NAVSTAR 4 (OPS 5114),1978-112A,11141,PAY,-,US,1978-12-11,AFWTR,,746.52,63.6,21271.0,20492.0,0.4658,,EA,ORB,MEO,,,left_only,Inactive Satellite
ATLAS F R/B,1978-112B,11142,R/B,,US,1978-12-11,AFWTR,,269.35,64.26,13819.0,1056.0,1.4463,,EA,ORB,MEO,,,left_only,Rocket Body
OPS 9441 (DSCS 2-11),1978-113A,11144,PAY,-,US,1978-12-14,AFETR,,1531.4,11.08,37738.0,37526.0,5.1241,,EA,ORB,High Elliptical / Deep,,,left_only,Inactive Satellite
OPS 9442 (DSCS 2-12),1978-113B,11145,PAY,-,US,1978-12-14,AFETR,,1462.8,8.59,36320.0,36295.0,4.9871,,EA,ORB,High Elliptical / Deep,,,left_only,Inactive Satellite
TITAN 3C TRANSTAGE R/B,1978-113D,11147,R/B,,US,1978-12-14,AFETR,,1535.91,11.11,38841.0,36596.0,3.0502,,EA,ORB,High Elliptical / Deep,,,left_only,Rocket Body
ANIK B1 (TELESAT 4),1978-116A,11153,PAY,-,CA,1978-12-16,AFETR,,1442.55,9.78,36009.0,35817.0,7.2712,,EA,ORB,GEO,,,left_only,Inactive Satellite
GORIZONT 1,1978-118A,11158,PAY,-,CIS,1978-12-19,TYMSC,,1436.13,12.16,48788.0,22787.0,2.5118,,EA,ORB,GEO,,,left_only,Inactive Satellite
COSMOS 1066,1978-121A,11165,PAY,,CIS,1978-12-23,PLMSC,,101.98,81.24,888.0,816.0,4.25,,EA,ORB,LEO,,,left_only,Inactive Satellite
SL-3 R/B,1978-121B,11166,R/B,,CIS,1978-12-23,PLMSC,,101.82,81.24,892.0,797.0,5.5174,,EA,ORB,LEO,,,left_only,Rocket Body
COSMOS 1067,1978-122A,11168,PAY,,CIS,1978-12-26,PLMSC,,109.07,82.97,1210.0,1157.0,2.7752,,EA,ORB,LEO,,,left_only,Inactive Satellite
SL-8 R/B,1978-122B,11170,R/B,,CIS,1978-12-26,PLMSC,,108.91,82.97,1197.0,1156.0,6.0389,,EA,ORB,LEO,,,left_only,Rocket Body
SL-14 DEB,1978-100E,11177,DEB,,CIS,1978-10-26,PLMSC,,120.28,82.53,1711.0,1676.0,0.0038,,EA,ORB,LEO,,,left_only,Debris
COSMOS 1072,1979-003A,11238,PAY,,CIS,1979-01-16,PLMSC,,104.78,82.94,1012.0,956.0,3.2404,,EA,ORB,LEO,,,left_only,Inactive Satellite
SL-8 R/B,1979-003B,11239,R/B,,CIS,1979-01-16,PLMSC,,104.64,82.94,1007.0,949.0,4.1959,,EA,ORB,LEO,,,left_only,Rocket Body
SCATHA,1979-007A,11256,PAY,,US,1979-01-30,AFETR,,1418.34,10.1,42835.0,28041.0,3.2195,,EA,ORB,GEO,,,left_only,Inactive Satellite
AYAME (ECS),1979-009A,11261,PAY,-,JPN,1979-02-06,TANSC,,854.18,9.91,34368.0,12519.0,0.2528,,EA,ORB,MEO,,,left_only,Inactive Satellite
SL-14 R/B,1979-011B,11267,R/B,,CIS,1979-02-12,PLMSC,,96.53,82.53,603.0,582.0,4.0015,,EA,ORB,LEO,,,left_only,Rocket Body
EKRAN 3,1979-015A,11273,PAY,-,CIS,1979-02-21,TYMSC,,1435.6,5.51,35957.0,35597.0,5.0118,,EA,ORB,GEO,,,left_only,Inactive Satellite
METEOR 2-4,1979-021A,11288,PAY,,CIS,1979-03-01,PLMSC,,101.96,81.22,869.0,834.0,4.5669,,EA,ORB,LEO,,,left_only,Inactive Satellite
SL-3 R/B,1979-021B,11289,R/B,,CIS,1979-03-01,PLMSC,,101.98,81.25,906.0,798.0,5.461,,EA,ORB,LEO,,,left_only,Rocket Body
SL-3 DEB,1979-021C,11290,DEB,,CIS,1979-03-01,PLMSC,,102.04,81.2,878.0,833.0,0.0158,,EA,ORB,LEO,,,left_only,Debris
COSMOS 1081,1979-024A,11296,PAY,,CIS,1979-03-15,PLMSC,,114.53,74.03,1465.0,1403.0,0.6628,,EA,ORB,LEO,,,left_only,Inactive Satellite
COSMOS 1082,1979-024B,11297,PAY,,CIS,1979-03-15,PLMSC,,114.74,74.04,1464.0,1424.0,0.67,,EA,ORB,LEO,,,left_only,Inactive Satellite
COSMOS 1083,1979-024C,11298,PAY,,CIS,1979-03-15,PLMSC,,114.96,74.03,1465.0,1442.0,0.6862,,EA,ORB,LEO,,,left_only,Inactive Satellite
COSMOS 1084,1979-024D,11299,PAY,,CIS,1979-03-15,PLMSC,,115.15,74.03,1464.0,1461.0,0.652,,EA,ORB,LEO,,,left_only,Inactive Satellite
COSMOS 1085,1979-024E,11300,PAY,,CIS,1979-03-15,PLMSC,,115.64,74.03,1504.0,1465.0,0.654,,EA,ORB,LEO,,,left_only,Inactive Satellite
COSMOS 1086,1979-024F,11301,PAY,,CIS,1979-03-15,PLMSC,,115.4,74.03,1482.0,1465.0,0.6855,,EA,ORB,LEO,,,left_only,Inactive Satellite
COSMOS 1087,1979-024G,11302,PAY,,CIS,1979-03-15,PLMSC,,115.86,74.03,1523.0,1466.0,0.6739,,EA,ORB,LEO,,,left_only,Inactive Satellite
COSMOS 1088,1979-024H,11303,PAY,,CIS,1979-03-15,PLMSC,,116.11,74.03,1547.0,1465.0,0.6841,,EA,ORB,LEO,,,left_only,Inactive Satellite
SL-8 R/B,1979-024J,11304,R/B,,CIS,1979-03-15,PLMSC,,117.62,74.04,1690.0,1459.0,5.9367,,EA,ORB,LEO,,,left_only,Rocket Body
OPS 6675,1979-025B,11306,PAY,,US,1979-03-16,AFWTR,,,,,,,NEA,EA,ORB,Unknown,,,left_only,Inactive Satellite
COSMOS 1089,1979-026A,11308,PAY,,CIS,1979-03-21,PLMSC,,104.7,82.97,998.0,963.0,1.9191,,EA,ORB,LEO,,,left_only,Inactive Satellite
SL-8 R/B,1979-026B,11309,R/B,,CIS,1979-03-21,PLMSC,,104.54,82.97,986.0,959.0,4.4701,,EA,ORB,LEO,,,left_only,Rocket Body
COSMOS 1091,1979-028A,11320,PAY,,CIS,1979-04-07,PLMSC,,104.73,82.92,1004.0,960.0,1.9187,,EA,ORB,LEO,,,left_only,Inactive Satellite
SL-8 R/B,1979-028B,11321,R/B,,CIS,1979-04-07,PLMSC,,104.59,82.92,990.0,961.0,4.1304,,EA,ORB,LEO,,,left_only,Rocket Body
COSMOS 1092,1979-030A,11326,PAY,,CIS,1979-04-11,PLMSC,,104.68,82.95,1001.0,958.0,1.4974,,EA,ORB,LEO,,,left_only,Inactive Satellite
SL-8 R/B,1979-030B,11327,R/B,,CIS,1979-04-11,PLMSC,,104.56,82.95,995.0,953.0,5.4444,,EA,ORB,LEO,,,left_only,Rocket Body
RADUGA 5,1979-035A,11343,PAY,-,CIS,1979-04-25,TYMSC,,1435.78,5.69,35793.0,35768.0,0.1428,,EA,ORB,GEO,,,left_only,Inactive Satellite
OPS 6392 (FLTSATCOM 2),1979-038A,11353,PAY,-,US,1979-05-04,AFETR,,1461.25,8.07,36342.0,36213.0,5.7851,,EA,ORB,High Elliptical / Deep,,,left_only,Inactive Satellite
COSMOS 1104,1979-046A,11378,PAY,,CIS,1979-05-31,PLMSC,,104.65,82.95,1001.0,955.0,2.9947,,EA,ORB,LEO,,,left_only,Inactive Satellite
SL-8 R/B,1979-046B,11379,R/B,,CIS,1979-05-31,PLMSC,,104.52,82.95,988.0,955.0,4.0468,,EA,ORB,LEO,,,left_only,Rocket Body
OPS 5390 (DMSP 5D-1 F4),1979-050A,11389,PAY,-,US,1979-06-06,AFWTR,,100.75,98.61,802.0,786.0,,,EA,ORB,LEO,,,left_only,Inactive Satellite
OPS 7484 (DSP 8),1979-053A,11397,PAY,-,US,1979-06-10,AFETR,,1458.27,7.58,36268.0,36171.0,,,EA,ORB,GEO,,,left_only,Inactive Satellite
OPS 5390 DEB,1979-050B,11403,DEB,,US,1979-06-06,AFWTR,,,,,,,NEA,EA,ORB,Unknown,,,left_only,Debris
OPS 5390 DEB,1979-050C,11408,DEB,,US,1979-06-06,AFWTR,,,,,,,NEA,EA,ORB,Unknown,,,left_only,Debris
OPS 5390 DEB,1979-050D,11410,DEB,,US,1979-06-06,AFWTR,,,,,,,NEA,EA,ORB,Unknown,,,left_only,Debris
NOAA 6,1979-057A,11416,PAY,-,US,1979-06-27,AFWTR,,100.32,98.58,781.0,767.0,2.8854,,EA,ORB,LEO,,,left_only,Inactive Satellite
COSMOS 1109,1979-058A,11417,PAY,,CIS,1979-06-27,PLMSC,,715.05,70.61,35794.0,4426.0,7.7189,,EA,ORB,MEO,,,left_only,Inactive Satellite
COSMOS 1110,1979-060A,11425,PAY,,CIS,1979-06-28,PLMSC,,100.41,74.01,789.0,767.0,2.1421,,EA,ORB,LEO,,,left_only,Inactive Satellite
SL-8 R/B,1979-060B,11427,R/B,,CIS,1979-06-28,PLMSC,,100.08,74.02,776.0,749.0,4.474,,EA,ORB,LEO,,,left_only,Rocket Body
TITAN 3C TRANSTAGE R/B,1979-053C,11436,R/B,,US,1979-06-10,AFETR,,1448.01,7.24,36283.0,35756.0,,,EA,ORB,GEO,,,left_only,Rocket Body
GORIZONT 2,1979-062A,11440,PAY,-,CIS,1979-07-05,TYMSC,,1436.52,6.12,35828.0,35762.0,3.981,,EA,ORB,GEO,,,left_only,Inactive Satellite
WESTAR 3,1979-072A,11484,PAY,,US,1979-08-10,AFETR,,1440.71,10.51,35898.0,35856.0,3.6474,,EA,ORB,GEO,,,left_only,Inactive Satellite
COSMOS 1125,1979-078A,11510,PAY,,CIS,1979-08-28,PLMSC,,100.41,74.03,787.0,769.0,2.0233,,EA,ORB,LEO,,,left_only,Inactive Satellite
SL-8 R/B,1979-078B,11511,R/B,,CIS,1979-08-28,PLMSC,,100.12,74.04,775.0,754.0,4.693,,EA,ORB,LEO,,,left_only,Rocket Body
OPS 5390 DEB,1979-050G,11534,DEB,,US,1979-06-06,AFWTR,,,,,,,NEA,EA,ORB,Unknown,,,left_only,Debris
COSMOS 1130,1979-084A,11538,PAY,,CIS,1979-09-25,PLMSC,,114.63,74.02,1480.0,1397.0,0.6796,,EA,ORB,LEO,,,left_only,Inactive Satellite
COSMOS 1131,1979-084B,11539,PAY,,CIS,1979-09-25,PLMSC,,114.8,74.03,1481.0,1411.0,0.6748,,EA,ORB,LEO,,,left_only,Inactive Satellite
COSMOS 1132,1979-084C,11540,PAY,,CIS,1979-09-25,PLMSC,,114.95,74.02,1481.0,1425.0,0.677,,EA,ORB,LEO,,,left_only,Inactive Satellite
COSMOS 1133,1979-084D,11541,PAY,,CIS,1979-09-25,PLMSC,,115.12,74.02,1483.0,1438.0,0.6801,,EA,ORB,LEO,,,left_only,Inactive Satellite
